test/success_rate,train/episode,train/success_rate,test/episode,stats_o/std,stats_g/std,epoch,stats_o/mean,test/mean_Q,stats_g/mean
1.0,13600.0,0.96,2720.0,0.105404615,0.07614594,135,0.20154297,-1.4629304,0.83706087
1.0,13700.0,0.96,2740.0,0.10555006,0.07606315,136,0.20153713,-1.2132742,0.83704853
1.0,13800.0,0.94,2760.0,0.10563531,0.07604939,137,0.20154348,-1.0434592,0.83704567
1.0,13900.0,0.89,2780.0,0.10587018,0.07604029,138,0.20154504,-2.4245431,0.8370445
0.95,14000.0,0.94,2800.0,0.10601122,0.07602329,139,0.20154583,-2.0167959,0.83707684
1.0,14100.0,0.925,2820.0,0.10612306,0.076009005,140,0.20155258,-1.63811,0.83711964
1.0,14200.0,0.955,2840.0,0.106212094,0.075936995,141,0.20153114,-1.121789,0.8371369
1.0,14300.0,0.9299999999999999,2860.0,0.106404915,0.075924166,142,0.2015288,-0.97250533,0.8371775
1.0,14400.0,0.955,2880.0,0.10666404,0.075844444,143,0.20154355,-1.4532864,0.83718306
1.0,14500.0,0.915,2900.0,0.10686281,0.07584167,144,0.20156132,-1.0404358,0.8371647
1.0,14600.0,0.95,2920.0,0.107045546,0.07582883,145,0.20157704,-1.4377797,0.8372066
1.0,14700.0,0.94,2940.0,0.10722783,0.075821035,146,0.2015991,-1.0744841,0.8372008
1.0,14800.0,0.965,2960.0,0.10729755,0.075781174,147,0.20157768,-1.7765676,0.8371987
1.0,14900.0,0.96,2980.0,0.10741797,0.07572087,148,0.20155689,-1.1084824,0.837207
0.95,15000.0,0.95,3000.0,0.10752769,0.07564562,149,0.20153023,-1.2006503,0.8372422
1.0,15100.0,0.935,3020.0,0.10773046,0.07561243,150,0.2015227,-0.94595194,0.8372529
1.0,15200.0,0.95,3040.0,0.10782416,0.07557359,151,0.20154247,-1.1500082,0.837249
1.0,15300.0,0.95,3060.0,0.1079477,0.07553249,152,0.20154257,-1.1016537,0.8372715
0.95,15400.0,0.935,3080.0,0.10818652,0.07548806,153,0.20158133,-1.4377719,0.8373131
1.0,15500.0,0.92,3100.0,0.10834197,0.07549984,154,0.20161077,-1.1560745,0.83732706
1.0,15600.0,0.955,3120.0,0.108493805,0.075449504,155,0.20162922,-1.1156387,0.8373781
1.0,15700.0,0.925,3140.0,0.10851854,0.075417645,156,0.20161848,-0.91474175,0.83739024
