epoch,stats_o/std,stats_o/mean,test/episode,stats_g/std,test/success_rate,train/success_rate,stats_g/mean,test/mean_Q,train/episode
191,0.10087081,0.18125266,3840.0,0.18772982,0.575,0.15000000000000002,0.7902319,-13.582331,3840.0
192,0.10094572,0.18123694,3860.0,0.18774545,0.3,0.2,0.79027206,-15.041943,3860.0
193,0.100933485,0.18126796,3880.0,0.18767352,0.5,0.07500000000000001,0.79036444,-14.618692,3880.0
194,0.10090606,0.18131834,3900.0,0.18766259,0.375,0.125,0.7905693,-14.077075,3900.0
195,0.1009173,0.18135248,3920.0,0.18759929,0.5,0.175,0.7907698,-15.162369,3920.0
196,0.100952715,0.18139437,3940.0,0.18767816,0.25,0.1,0.79085326,-14.890194,3940.0
197,0.101025745,0.18143407,3960.0,0.18765204,0.375,0.07500000000000001,0.7909855,-16.201378,3960.0
198,0.101135515,0.18145256,3980.0,0.18769632,0.4,0.15,0.7909527,-14.604111,3980.0
199,0.101128444,0.18146786,4000.0,0.18757968,0.35,0.1,0.7909996,-16.222584,4000.0
200,0.10110446,0.18149464,4020.0,0.18746878,0.2,0.125,0.79103017,-14.44467,4020.0
201,0.10109095,0.18148924,4040.0,0.1873226,0.2,0.15000000000000002,0.791183,-14.472328,4040.0
202,0.10118194,0.18149419,4060.0,0.1873164,0.3,0.2,0.7911969,-13.065367,4060.0
203,0.1012157,0.18151762,4080.0,0.187297,0.4,0.25,0.7912154,-13.94549,4080.0
204,0.10120762,0.181571,4100.0,0.18726546,0.375,0.175,0.79137284,-12.045847,4100.0
205,0.10121639,0.1815802,4120.0,0.18720949,0.4,0.175,0.7914777,-13.815056,4120.0
206,0.10123689,0.18160659,4140.0,0.18709399,0.55,0.225,0.7916828,-12.818515,4140.0
207,0.10130025,0.18162598,4160.0,0.18719004,0.25,0.07500000000000001,0.7917711,-13.980342,4160.0
208,0.10131543,0.18164998,4180.0,0.1870836,0.275,0.07500000000000001,0.79188925,-13.669483,4180.0
209,0.10134005,0.18169777,4200.0,0.18704475,0.25,0.05,0.79210824,-14.678055,4200.0
210,0.10136206,0.1817152,4220.0,0.18703134,0.4,0.15000000000000002,0.7922718,-15.426495,4220.0
211,0.101310104,0.18174101,4240.0,0.1869476,0.275,0.07500000000000001,0.7924469,-15.877232,4240.0
212,0.10129237,0.1817561,4260.0,0.18683423,0.55,0.15,0.79260534,-14.625433,4260.0
213,0.101277836,0.1817723,4280.0,0.18681525,0.45,0.1,0.7926702,-12.502495,4280.0
214,0.1012955,0.18182059,4300.0,0.18676578,0.325,0.175,0.79291195,-11.730263,4300.0
215,0.101283826,0.1818317,4320.0,0.18672991,0.3,0.125,0.7930867,-11.765053,4320.0
